Arrival Time, Inter Arrival Time
21.258067,1.273223
23.120130,1.862062
24.472147,1.352017
25.697806,1.225659
27.898373,2.200567
28.205644,0.307272
32.401675,4.196030
33.761457,1.359782
37.542826,3.781369
38.921104,1.378279
38.929161,0.008057
42.161436,3.232275
46.494500,4.333063
46.882395,0.387896
51.618851,4.736456
51.668589,0.049737
57.151082,5.482494
57.239902,0.088820
60.294425,3.054524
60.739987,0.445561
61.997736,1.257750
63.146211,1.148474
63.339758,0.193547
63.839135,0.499377
64.127198,0.288063
67.487585,3.360388
67.770223,0.282637
69.987303,2.217080
72.307452,2.320150
72.695455,0.388003
73.132131,0.436676
76.672242,3.540111
76.890955,0.218713
76.896596,0.005641
77.217305,0.320709
78.554477,1.337172
79.352367,0.797890
80.747001,1.394634
81.972587,1.225586
83.128390,1.155803
88.551179,5.422789
89.449333,0.898154
92.284260,2.834927
95.064820,2.780560
97.348098,2.283278
97.450600,0.102503
99.070007,1.619407
99.373254,0.303247
102.397221,3.023967
104.092002,1.694780
110.733719,6.641717
115.263477,4.529759
117.767116,2.503638
118.902350,1.135234
121.611208,2.708858
128.931808,7.320600
134.426597,5.494789
135.520054,1.093457
136.123477,0.603424
136.712304,0.588827
136.755276,0.042972
138.706482,1.951206
141.605588,2.899106
145.270901,3.665313
151.635297,6.364397
151.930761,0.295464
153.785624,1.854863
154.024954,0.239330
159.022879,4.997925
168.843109,9.820230
170.834427,1.991317
171.535513,0.701086
172.316872,0.781359
172.324650,0.007779
172.791878,0.467228
173.652420,0.860542
173.985101,0.332681
177.148403,3.163302
178.175032,1.026629
181.144757,2.969725
182.095106,0.950348
185.229929,3.134823
187.540752,2.310823
191.532974,3.992222
197.125648,5.592674
198.992987,1.867340
199.294143,0.301155
201.384212,2.090070
201.720615,0.336402
205.075145,3.354530
205.757937,0.682792
212.017735,6.259799
212.718422,0.700686
215.510993,2.792571
218.053467,2.542474
219.913179,1.859712
221.789782,1.876604
223.144695,1.354913
223.820716,0.676021
227.576995,3.756279
228.557851,0.980856
230.507839,1.949988
230.631509,0.123670
230.878330,0.246821
231.626651,0.748321
234.058759,2.432108
240.960015,6.901256
241.784519,0.824505
247.610334,5.825814
248.682310,1.071976
252.158825,3.476515
255.567916,3.409092
